prefix	as_path	atomic_aggregate	aggregator	communities	timestamp	origin	collector	prepending	loops	ixps	gao_rexford	new_asns	path_poisoning	country	start_time	end_time	event_number	event_type	url	hijack_detected_as_path	hijack_detected_by_bgpmon_peers	hijack_detected_origin_name	hijack_detected_origin_number	hijack_expected_origin_name	hijack_expected_origin_number	hijack_expected_prefix	hijack_more_specific_prefix	leak_detected_by_bgpmon_peers	leak_example_as_path	leaked_prefix	leaked_to_name	leaked_to_number	leaker_as_name	leaker_as_number	leak_origin_as_name	leak_origin_as_number	outage_as_name	outage_as_number	outage_number_prefixes_affected	outage_percent_prefixes_affected	roa_validity	prefix_id	block_id	prefix_block_id	url_1	source
1.10.165.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	416	0	416	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.166.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	417	0	417	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.167.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	418	0	418	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.168.0/24	{22742,6939,4651,23969}				1611021986	23969	22742	0	0	0	0	0	0																												1	419	0	419	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.169.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	420	0	420	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.170.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	421	0	421	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.171.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	422	0	422	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.172.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	423	0	423	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.173.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	424	0	424	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.174.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	425	0	425	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
